Hot Water: Clothes Washer (gal),1237.2
Hot Water: Dishwasher (gal),659.3
Hot Water: Fixtures (gal),7440.7
Hot Water: Distribution Waste (gal),2932.7

Resilience: Battery (hr),0.0

HVAC Capacity: Heating (Btu/h),23410.0
HVAC Capacity: Cooling (Btu/h),9887.0
HVAC Capacity: Heat Pump Backup (Btu/h),0.0

HVAC Design Temperature: Heating (F),11.66
HVAC Design Temperature: Cooling (F),88.16

HVAC Design Load: Heating: Total (Btu/h),23410.0
HVAC Design Load: Heating: Ducts (Btu/h),0.0
HVAC Design Load: Heating: Windows (Btu/h),1126.0
HVAC Design Load: Heating: Skylights (Btu/h),0.0
HVAC Design Load: Heating: Doors (Btu/h),233.0
HVAC Design Load: Heating: Walls (Btu/h),3704.0
HVAC Design Load: Heating: Roofs (Btu/h),1099.0
HVAC Design Load: Heating: Floors (Btu/h),0.0
HVAC Design Load: Heating: Slabs (Btu/h),1217.0
HVAC Design Load: Heating: Ceilings (Btu/h),0.0
HVAC Design Load: Heating: Infiltration/Ventilation (Btu/h),16031.0
HVAC Design Load: Cooling Sensible: Total (Btu/h),6572.0
HVAC Design Load: Cooling Sensible: Ducts (Btu/h),0.0
HVAC Design Load: Cooling Sensible: Windows (Btu/h),596.0
HVAC Design Load: Cooling Sensible: Skylights (Btu/h),0.0
HVAC Design Load: Cooling Sensible: Doors (Btu/h),97.0
HVAC Design Load: Cooling Sensible: Walls (Btu/h),465.0
HVAC Design Load: Cooling Sensible: Roofs (Btu/h),340.0
HVAC Design Load: Cooling Sensible: Floors (Btu/h),0.0
HVAC Design Load: Cooling Sensible: Slabs (Btu/h),0.0
HVAC Design Load: Cooling Sensible: Ceilings (Btu/h),0.0
HVAC Design Load: Cooling Sensible: Infiltration/Ventilation (Btu/h),1754.0
HVAC Design Load: Cooling Sensible: Internal Gains (Btu/h),3320.0
HVAC Design Load: Cooling Latent: Total (Btu/h),3636.0
HVAC Design Load: Cooling Latent: Ducts (Btu/h),0.0
HVAC Design Load: Cooling Latent: Infiltration/Ventilation (Btu/h),2836.0
HVAC Design Load: Cooling Latent: Internal Gains (Btu/h),800.0
